Team,FGP,3PM,3PA,3PP,FTM,FTA,FTP,Turnovers,Oreb,DReb,TotalReb,Assists,Steals,Blocks,Points
Golden State,0.487,13.1,31.6,0.416,16.7,21.8,0.763,15.2,10,36.2,46.2,28.9,8.4,6.1,114.9
Oklahoma City,0.476,8.3,23.7,0.349,19.7,25.2,0.782,15.9,13.1,35.6,48.6,23,7.4,5.9,110.2
Sacramento,0.464,8,22.4,0.359,18.5,25.5,0.725,16.2,10.6,33.7,44.2,24.5,8.9,4.5,106.6
Houston,0.452,10.7,30.9,0.347,20.4,29.4,0.694,15.9,11.3,31.7,43.1,22.2,10,5.2,106.5
Boston,0.439,8.7,26.1,0.335,18.5,23.5,0.788,13.7,11.6,33.3,44.9,24.2,9.2,4.2,105.7
Portland,0.45,10.5,28.5,0.37,17.4,23,0.754,14.6,11.6,33.9,45.5,21.3,6.9,4.6,105.1
L.A. Clippers,0.465,9.7,26.7,0.364,18.2,26.2,0.692,13,8.8,33.3,42,22.8,8.6,5.6,104.5
Cleveland,0.46,10.7,29.6,0.363,16.3,21.7,0.748,13.6,10.6,33.9,44.5,22.7,6.7,3.9,104.3
Washington,0.46,8.6,24.2,0.358,16.5,22.5,0.73,14.5,9.1,32.8,41.8,24.5,8.6,3.9,104.1
San Antonio,0.484,7,18.5,0.375,16.4,20.4,0.803,13.1,9.4,34.5,43.9,24.5,8.3,5.9,103.5
Charlotte,0.439,10.6,29.4,0.362,18.7,23.7,0.79,12.6,9,35,43.9,21.7,7.3,5.3,103.4
Atlanta,0.458,9.9,28.4,0.35,15.6,20,0.783,15,8.3,33.8,42.1,25.6,9.1,5.9,102.8
New Orleans,0.448,8.6,23.8,0.36,17.3,22.2,0.776,13.4,9.5,33.1,42.6,22.2,7.7,4.2,102.7
Toronto,0.451,8.6,23.3,0.37,20.8,26.7,0.777,13.1,10.2,33.2,43.4,18.7,7.8,5.5,102.7
Minnesota,0.464,5.5,16.4,0.338,21.4,27,0.792,15,10,31.5,41.6,23.4,8,4.6,102.4
Dallas,0.444,9.8,28.5,0.344,17.7,22.3,0.794,12.8,9.2,33.9,43.1,22.1,6.8,3.7,102.3
Indiana,0.45,8.1,23,0.351,17.4,22.8,0.764,14.9,10.3,33.9,44.2,21.2,9,4.8,102.2
Orlando,0.455,7.8,22.2,0.35,15.2,20.1,0.757,14.1,10.3,33,43.3,23.6,8.2,5.1,102.1
Detroit,0.439,9,26.2,0.345,17.1,25.5,0.668,13.5,12.5,33.9,46.3,19.4,7,3.7,102
Denver,0.442,8,23.7,0.338,18.5,24.1,0.766,14.7,11.5,33.1,44.6,22.7,7.4,4.8,101.9
Chicago,0.441,7.9,21.4,0.371,16.5,21,0.787,13.9,11.1,35.2,46.3,22.8,6,5.7,101.6
Phoenix,0.435,9,25.8,0.348,17.5,23.2,0.751,17.2,11.5,33.3,44.8,20.7,7.7,3.8,100.9
Miami,0.47,6.1,18,0.336,17.1,23,0.744,14.1,9.8,34.3,44.1,20.8,6.7,6.5,100
Memphis,0.44,6.1,18.5,0.331,19.3,24.7,0.783,13.3,11.2,30.5,41.6,20.7,8.8,4.3,99.1
Milwaukee,0.467,5.4,15.6,0.345,17,22.7,0.747,15.2,10.5,31.2,41.7,23.1,8.2,5.8,99
Brooklyn,0.453,6.5,18.4,0.352,15.7,20.7,0.757,14.8,10.5,31.9,42.4,22.3,7.6,4,98.6
New York,0.439,7.4,21.5,0.346,17.2,21.4,0.805,13.4,10.4,34,44.4,20.5,5.7,5.7,98.4
Utah,0.449,8.5,23.9,0.355,17.1,23,0.744,14.9,10.7,32.5,43.2,19,7.7,5.2,97.7
Philadelphia,0.431,9.3,27.5,0.339,15.7,22.6,0.694,16.4,9.5,31.8,41.2,21.5,8.3,6,97.4
L.A. Lakers,0.414,7.8,24.6,0.317,19.3,24.7,0.781,13.7,10.7,32.3,43,18,7.2,4.1,97.3
